"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Visualização geral do desenvolvimento",project,2019-01-14,2019-05-10,0,0,45.67,,,,,
1.1,"Todas tarefas gerenciáveis",group,2019-01-14,2019-05-10,0,0,45.67,,,,,
1.1.1,"Definição de banco de dados",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,red1
1.1.2,"Estruturação da Nuvem-Client",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.3,"Desenhar solução completa do sistema",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,red1
1.1.4,"Multi conexões dinâmicas - Nuvem-Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.5,"Estruturação da Nuvem-Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.6,"Comunicação Nuvem-Client com Nuvem-Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.7,"Estruturação da API que receberá requisições dos clientes",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,red1
1.1.8,"Criar padrão de comunicação entre os coletores com o coletor master",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,red1
1.1.9,"Autenticação e permissionamento da aplicação",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.10,"Modelar comunicações dos coletores, coletores masters com a API que comunicará com os coletores",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,red1
1.1.11,"Containers do SQL Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,red1
1.1.12,"Estruturação da API",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,blue2
1.1.13,"Implementar multi conexões por clientes",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.14,"Implementação da estrutura e template do client",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.15,"#7 - Tela de Papéis",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.16,"#14 - Implementação da estrutura do server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.17,"#15 - Comunicação Nuvem-Client com Nuvem-Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.18,"#16 - Autenticação e permissionamento",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.19,"#17 - Containers do SQL Server",task,2019-01-14,2019-01-14,0,0,100,Rafael,,,,green3
1.1.20,"Disponibilizar lista de servidores master",task,2019-01-14,2019-01-14,0,0,100,"Erick J P",,,,blue2
1.1.21,"Consultar os servidores master cadastrados",task,2019-01-15,2019-01-16,0,0,100,"Erick J P",1.1.20,,,green1
1.1.22,"Tela - Cadastro dos servidores master",task,2019-01-17,2019-01-21,0,0,100,"Erick J P",1.1.21,,,green1
1.1.23,"Gravar localmente (coletor master)",task,2019-01-22,2019-01-24,0,0,100,"Erick J P",,,,green1
1.1.24,"Descoberta de discos",task,2019-01-25,2019-01-28,0,0,80,"Erick J P","1.1.22,1.1.23",,,green1
1.1.25,"Descoberta de rede",task,2019-01-29,2019-01-30,0,0,0,"Erick J P",1.1.24,,,green1
1.1.26,"Descoberta de aplicações",task,2019-01-31,2019-02-01,0,0,90,"Erick J P",1.1.25,,,green1
1.1.27,"Listagem de telas e requisitos para o desenvolvimento das mesmas",task,2019-01-29,2019-02-01,0,0,100,Rafael,,,,red1
1.1.28,"Estruturar grupos de acessos e permissão no bitbuket",task,2019-02-01,2019-02-01,0,0,100,Rafael,,,,red1
1.1.29,"#20 - Criar arquivo readme",task,2019-02-04,2019-02-04,0,0,100,Rafael,,,,green3
1.1.30,"#7 - Criar arquivo readme.md",task,2019-02-05,2019-02-05,0,0,100,Rafael,1.1.29,,,blue3
1.1.31,"Modelagem do banco de dados",task,2019-02-04,2019-02-08,0,0,100,"Erick J P, Rafael","1.1.26,1.1.27",,,red1
